Region Name,Region,H-Exp,G-Exp,GCF,Exports,Imports,GDP
Eastern Africa,1,222099,43442,83925,63357,105953,306779
Middle Africa,2,114093,41160,50391,84097,72161,232594
Northern Africa,3,512026,130103,202705,147601,239202,750644
Southern Africa,4,208409,71992,74895,111843,118890,346595
Western Africa,5,489872,58167,112438,103555,119062,645329
Eastern Asia,7,7909593,2709822,6658334,4754200,4201469,17826278
Central Asia,8,149562,37820,94613,98484,85740,302780
Southern Asia,9,1908667,328321,937876,593983,683486,3104592
South-Eastern Asia,10,1367071,282593,692543,1471389,1341375,2440849
Western Asia,11,1491253,582266,733585,1229691,1199203,2843855
Eastern Europe,13,1424133,474723,526701,1162669,1017074,2575830
Northern Europe,14,2677312,963853,924761,1825078,1726745,4664906
Southern Europe,15,2195251,686232,638387,1195878,1113637,3599276
Western Europe,16,4299485,1687745,1695564,4057696,3634861,8105149
Northern America,18,13181964,2933558,4041307,2758228,3316824,19597386
Caribbean,20,215243,57425,48794,141992,123675,339743
Central America,21,939314,170256,316752,481778,524581,1370279
South America,22,2565318,659713,798673,541228,869767,3695063
Oceania,24,843670,270711,366120,298978,336952,1448476
