Year,Region Name,Region,H-Exp,G-Exp,GCF,Exports,Imports,GDP
1990,Eastern Africa,1,45301,12118,11751,11479,16227,64967
1990,Middle Africa,2,26477,8275,6334,13919,11553,43433
1990,Northern Africa,3,112202,29139,48839,47993,53939,183938
1990,Southern Africa,4,72701,23996,22505,31133,26147,120044
1990,Western Africa,5,59043,8951,11079,22519,18453,82595
1990,Eastern Asia,7,2123656,534090,1314686,637430,586832,4039883
1990,Central Asia,8,34442,8597,20894,12450,22382,53119
1990,Southern Asia,9,345918,58495,140491,47737,69204,517386
1990,South-Eastern Asia,10,203361,35747,118624,177021,179005,367243
1990,Western Asia,11,295556,100454,106350,179718,156954,533895
1990,Eastern Europe,13,459930,176096,258648,206662,206372,895866
1990,Northern Europe,14,997098,368335,376760,491481,494231,1739504
1990,Southern Europe,15,1141991,359562,447690,381179,418511,1916650
1990,Western Europe,16,2206498,769210,902757,1156818,1150624,3881594
1990,Northern America,18,4159291,1082365,1411326,702424,779215,6574664
1990,Caribbean,20,58771,17221,19247,50355,51219,94390
1990,Central America,21,244438,30807,90306,67987,72621,360928
1990,South America,22,459973,114712,134069,96220,69810,744011
1990,Oceania,24,220081,70357,89702,67638,69484,381249
1995,Eastern Africa,1,45763,9873,11651,14955,20030,62080
1995,Middle Africa,2,16824,5173,5809,12609,11413,29826
1995,Northern Africa,3,136539,30507,45273,51964,58674,205616
1995,Southern Africa,4,101203,30676,30315,39783,39926,162409
1995,Western Africa,5,54422,10139,9810,22112,20615,76111
1995,Eastern Asia,7,3821201,1022312,2125033,1123499,1036204,7054729
1995,Central Asia,8,24735,6443,9412,17205,18502,39085
1995,Southern Asia,9,392943,68886,168678,84684,86215,621497
1995,South-Eastern Asia,10,382432,66199,242639,405803,416155,694480
1995,Western Asia,11,376602,115706,151207,211016,209483,647613
1995,Eastern Europe,13,426966,150592,188437,256244,245067,775630
1995,Northern Europe,14,1156696,418428,355635,670694,613585,1987130
1995,Southern Europe,15,1243351,367928,425604,508935,492187,2052513
1995,Western Europe,16,3051041,1112022,1135367,1615196,1526390,5386889
1995,Northern America,18,5322636,1275874,1743184,1032584,1103577,8269749
1995,Caribbean,20,81139,18669,19304,53878,52828,120049
1995,Central America,21,260431,39847,86994,117419,112068,396558
1995,South America,22,904551,239917,279462,157332,177582,1400704
1995,Oceania,24,274786,84520,114095,98099,99765,471848
2000,Eastern Africa,1,52443,10978,13405,15610,21684,70493
2000,Middle Africa,2,19294,6161,5549,17167,12436,35670
2000,Northern Africa,3,161189,37064,51402,75647,64770,260532
2000,Southern Africa,4,90642,27026,23849,43034,39550,144870
2000,Western Africa,5,55131,9839,10679,36215,23763,88043
2000,Eastern Asia,7,3816197,1114553,1903773,1423242,1294746,6973429
2000,Central Asia,8,23291,5852,8127,19698,17366,39374
2000,Southern Asia,9,467147,85319,178655,110539,116448,727245
2000,South-Eastern Asia,10,342744,62045,152348,508685,452347,614321
2000,Western Asia,11,459659,160900,174096,352146,282759,863653
2000,Eastern Europe,13,356408,112670,145250,291586,255760,649490
2000,Northern Europe,14,1378163,456996,438079,839774,791223,2321966
2000,Southern Europe,15,1219502,361767,463994,562083,607230,1999947
2000,Western Europe,16,2436154,865866,934355,1700972,1633141,4303948
2000,Northern America,18,7206365,1585769,2578471,1424688,1763127,11033681
2000,Caribbean,20,102083,24265,30898,87300,79611,164859
2000,Central America,21,491282,81047,196361,223388,240783,754677
2000,South America,22,871876,215844,245984,193496,195133,1335744
2000,Oceania,24,282667,84881,109166,114947,113890,477716
2005,Eastern Africa,1,75345,15531,19996,25622,37366,99475
2005,Middle Africa,2,35070,15767,14438,55267,33874,86690
2005,Northern Africa,3,195662,46361,94760,148613,115310,370085
2005,Southern Africa,4,167196,52299,49180,78755,79277,268197
2005,Western Africa,5,141084,17023,21303,57247,50693,185720
2005,Eastern Asia,7,4316048,1342041,2353293,2417729,2164644,8277735
2005,Central Asia,8,45714,11595,25666,47053,39255,90890
2005,Southern Asia,9,749760,137891,397058,268463,287023,1266980
2005,South-Eastern Asia,10,536827,95239,233049,774192,699394,936430
2005,Western Asia,11,769274,230435,305660,662172,504703,1462217
2005,Eastern Europe,13,884218,290429,347381,683959,597322,1603619
2005,Northern Europe,14,2170760,802709,701226,1342854,1291844,3724257
2005,Southern Europe,15,2097788,675083,843200,928239,1046409,3497216
2005,Western Europe,16,3762841,1371756,1271999,2856341,2608819,6653873
2005,Northern America,18,9421880,2204945,3307736,1743099,2414701,14266098
2005,Caribbean,20,135061,34532,37691,121077,107761,220459
2005,Central America,21,662066,104029,213580,270634,294058,963274
2005,South America,22,988500,266764,302791,358215,274610,1640427
2005,Oceania,24,510825,157024,244118,189270,205364,895882
2010,Eastern Africa,1,134447,27687,41308,55947,72974,186075
2010,Middle Africa,2,73395,29937,39289,102838,71622,173887
2010,Northern Africa,3,357962,89819,197171,214009,212021,646941
2010,Southern Africa,4,235604,85894,78066,112604,117190,394116
2010,Western Africa,5,236080,44078,53414,127598,115161,346832
2010,Eastern Asia,7,6270956,2101378,4405482,3958727,3586785,13165487
2010,Central Asia,8,97440,26505,62840,98624,72728,221446
2010,Southern Asia,9,1408059,280941,861532,549067,625002,2499300
2010,South-Eastern Asia,10,1045585,208728,521210,1277216,1141796,1918036
2010,Western Asia,11,1305767,410072,581281,1080076,900849,2475045
2010,Eastern Europe,13,1550101,534639,639362,1142979,1035983,2817956
2010,Northern Europe,14,2328139,944436,667257,1612819,1523471,4031181
2010,Southern Europe,15,2556799,874339,868990,1158722,1290349,4167817
2010,Western Europe,16,4544509,1763341,1506230,3799992,3506840,8107532
2010,Northern America,18,11118427,2880165,3131691,2315590,2866791,16580395
2010,Caribbean,20,182664,47193,38822,135243,119843,283750
2010,Central America,21,818923,144020,260376,375592,400988,1203062
2010,South America,22,2215282,662041,791235,647065,600900,3723844
2010,Oceania,24,797288,266658,383477,327962,312167,1463666
2015,Eastern Africa,1,222099,43442,83925,63357,105953,306779
2015,Middle Africa,2,114093,41160,50391,84097,72161,232594
2015,Northern Africa,3,512026,130103,202705,147601,239202,750644
2015,Southern Africa,4,208409,71992,74895,111843,118890,346595
2015,Western Africa,5,489872,58167,112438,103555,119062,645329
